region,sku,capacity_unit,pay_go_hour,reservation_hour
South Central US,F1024,1024,184.32,109.65
South Central US,F2048,2048,368.64,219.30
South India,F2,2,0.44,0.26
South India,F4,4,0.88,0.52
South India,F8,8,1.76,1.05
South India,F16,16,3.52,2.09
South India,F32,32,7.04,4.19
South India,F64,64,14.08,8.37
South India,FT1,64,14.08,8.37
South India,F128,128,28.16,16.75
South India,F256,256,56.32,33.49
South India,F512,512,112.64,66.98
South India,F1024,1024,225.28,133.96
South India,F2048,2048,450.56,267.92
Southeast Asia,F2,2,0.44,0.26
Southeast Asia,F4,4,0.88,0.52
Southeast Asia,F8,8,1.76,1.05
Southeast Asia,F16,16,3.52,2.09
Southeast Asia,F32,32,7.04,4.19
Southeast Asia,F64,64,14.08,8.37
Southeast Asia,FT1,64,14.08,8.37
Southeast Asia,F128,128,28.16,16.75
Southeast Asia,F256,256,56.32,33.49
Southeast Asia,F512,512,112.64,66.98
Southeast Asia,F1024,1024,225.28,133.96
Southeast Asia,F2048,2048,450.56,267.92
Sweden Central,F2,2,0.38,0.23
Sweden Central,F4,4,0.76,0.45
Sweden Central,F8,8,1.52,0.91
Sweden Central,F16,16,3.04,1.81
Sweden Central,F32,32,6.08,3.62
Sweden Central,F64,64,12.16,7.23
Sweden Central,FT1,64,12.16,7.23
Sweden Central,F128,128,24.32,14.47
Sweden Central,F256,256,48.64,28.93
Sweden Central,F512,512,97.28,57.86
Sweden Central,F1024,1024,194.56,115.73
Sweden Central,F2048,2048,389.12,231.45
Switzerland North,F2,2,0.48,0.29
Switzerland North,F4,4,0.96,0.57
Switzerland North,F8,8,1.92,1.14
Switzerland North,F16,16,3.84,2.28
Switzerland North,F32,32,7.68,4.57
Switzerland North,F64,64,15.36,9.13
Switzerland North,FT1,64,15.36,9.13
Switzerland North,F128,128,30.72,18.27
Switzerland North,F256,256,61.44,36.53
Switzerland North,F512,512,122.88,73.06
Switzerland North,F1024,1024,245.76,146.12
Switzerland North,F2048,2048,491.52,292.24
Switzerland West,F2,2,0.62,0.37
Switzerland West,F4,4,1.24,0.74
Switzerland West,F8,8,2.48,1.48
Switzerland West,F16,16,4.96,2.95
Switzerland West,F32,32,9.92,5.90
Switzerland West,F64,64,19.84,11.80
Switzerland West,FT1,64,19.84,11.80
Switzerland West,F128,128,39.68,23.60
Switzerland West,F256,256,79.36,47.20
Switzerland West,F512,512,158.72,94.39
Switzerland West,F1024,1024,317.44,188.79
Switzerland West,F2048,2048,634.88,377.57
UAE Central,F2,2,0.56,
UAE Central,F4,4,1.12,
UAE Central,F8,8,2.24,
UAE Central,F16,16,4.48,
UAE Central,F32,32,8.96,
UAE Central,F64,64,17.92,
UAE Central,FT1,64,17.92,
UAE Central,F128,128,35.84,
UAE Central,F256,256,71.68,
UAE Central,F512,512,143.36,
UAE Central,F1024,1024,286.72,
UAE Central,F2048,2048,573.44,
UAE North,F2,2,0.44,0.26
UAE North,F4,4,0.88,0.52
UAE North,F8,8,1.76,1.05
UAE North,F16,16,3.52,2.09
UAE North,F32,32,7.04,4.19
UAE North,F64,64,14.08,8.37
UAE North,FT1,64,14.08,8.37
UAE North,F128,128,28.16,16.75
UAE North,F256,256,56.32,33.49
UAE North,F512,512,112.64,66.98
UAE North,F1024,1024,225.28,133.96
UAE North,F2048,2048,450.56,267.92
UK South,F2,2,0.42,0.25
UK South,F4,4,0.84,0.50
UK South,F8,8,1.68,1.00
UK South,F16,16,3.36,2.00
UK South,F32,32,6.72,4.00
UK South,F64,64,13.44,7.99
UK South,FT1,64,13.44,7.99
UK South,F128,128,26.88,15.99
UK South,F256,256,53.76,31.97
UK South,F512,512,107.52,63.94
UK South,F1024,1024,215.04,127.88
UK South,F2048,2048,430.08,255.77
UK West,F2,2,0.42,0.25
UK West,F4,4,0.84,0.50
UK West,F8,8,1.68,1.00
UK West,F16,16,3.36,2.00
UK West,F32,32,6.72,4.00
UK West,F64,64,13.44,7.99
UK West,FT1,64,13.44,7.99
UK West,F128,128,26.88,15.99
